frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
26, 0, 0.000, 0.98, 1, 1.07, 1.34, 0.16, 0.44, -1.42, -1.83, -0.28, 1.54, -0.61, 1.24, 1.91, 2.99, 1.09, 0.77, 1.24, 1.62, 0.20, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
27, 0, 0.000, 0.88, 1, 0.61, 0.72, -1.68, -0.04, 0.65, -0.16, 2.46, 0.03, 0.34, 1.11, 1.74, 1.47, 1.53, 0.18, 1.31, -0.48, -1.39, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
28, 0, 0.000, 0.88, 1, -1.79, -0.43, 1.52, -1.52, 0.53, 1.76, 1.67, 0.95, -1.44, -2.59, 3.17, -0.13, 2.80, 1.23, 3.17, -0.41, -0.81, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0
29, 0, 0.000, 0.98, 1, 1.87, 3.63, -1.96, 2.11, -1.35, -1.85, -1.75, -1.05, -0.84, -1.33, -0.44, -0.16, 0.52, 0.75, 1.16, 0.19, 1.12, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
30, 0, 0.000, 0.98, 1, -1.54, 1.08, 0.61, 0.64, -0.61, -1.20, 0.45, -0.02, -0.82, -0.33, -0.36, 1.07, -0.86, 1.00, 2.36, 0.38, -0.23, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
31, 0, 0.000, 0.88, 1, -1.35, -1.43, 0.25, 1.80, -0.82, -0.41, 1.74, 0.24, -0.85, -0.54, 1.01, 1.50, 1.37, 3.92, 0.20, 0.04, -2.28, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0
32, 0, 0.000, 0.88, 1, 0.94, 1.95, -1.77, 0.59, -0.87, -0.56, 0.72, 0.30, 0.05, -0.50, 1.78, 2.59, 0.35, 1.07, -1.81, -2.62, 1.13, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
33, 0, 0.000, 0.98, 1, 2.61, 2.58, -2.15, 1.60, -1.23, -0.56, 0.44, -0.25, -0.26, -2.70, 0.87, 1.99, -1.19, 1.59, 0.68, 0.96, -0.53, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
34, 0, 0.000, 0.98, 1, 1.39, -0.76, 0.49, -0.42, -0.42, -0.71, 1.97, 1.99, 0.96, 1.69, 1.54, 2.24, 0.64, 3.01, 0.69, 1.26, -0.35, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
35, 0, 0.000, 0.98, 1, 0.63, -0.60, -0.29, -1.17, -1.12, -1.47, -1.27, -0.70, -1.71, -0.38, 3.63, 0.75, 2.32, -1.30, 0.03, -0.80, 2.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0
